text,label
华为发布最新5G芯片性能提升50%功耗降低30%,0
苹果公司宣布将在下季度推出新款iPhone搭载A17芯片,0
人工智能技术在医疗领域取得重大突破诊断准确率达95%,0
特斯拉推出新能源汽车续航里程突破1000公里,0
量子计算机研发取得新进展运算速度提升百倍,0
谷歌发布新一代AI芯片TPU专为大模型训练设计,0
微软Azure云服务推出新功能支持边缘计算部署,0
SpaceX成功发射星链卫星全球互联网覆盖率提升,0
英伟达发布RTX5090显卡光追性能翻倍,0
阿里云推出盘古大模型参数规模达千亿级,0
Meta发布VR头显Quest4分辨率提升至8K,0
IBM量子计算机实现433量子比特刷新世界纪录,0
小米汽车正式发布搭载自研自动驾驶系统,0
OpenAI推出GPT5模型多模态能力大幅增强,0
三星发布可折叠屏手机新品屏幕寿命提升3倍,0
百度发布文心一言大模型对标GPT4性能,0
索尼发布PS6游戏机支持8K120fps游戏,0
腾讯推出混元大模型支持多模态理解,0
AMD发布锐龙9000系列处理器性能超越竞品,0
联想发布新款笔记本电脑搭载AI芯片,0
戴尔推出企业级服务器采用最新架构,0
惠普发布激光打印机新品速度提升50%,0
华硕推出游戏显卡ROG系列性能强劲,0
中兴通讯5G基站出货量全球第一,0
大疆发布新款无人机续航时间突破1小时,0
比亚迪推出刀片电池技术安全性大幅提升,0
宁德时代发布钠离子电池成本降低30%,0
蔚来汽车推出150kWh固态电池续航超1000公里,0
理想汽车发布新车型搭载增程式动力系统,0
小鹏汽车推出飞行汽车概念车引发关注,0
吉利汽车发布新能源战略2030年全面电动化,0
长城汽车推出氢能源汽车技术路线图,0
奇瑞汽车发布混动系统热效率达45%,0
广汽集团推出石墨烯电池充电速度提升10倍,0
上汽集团发布智能驾驶平台L4级自动驾驶,0
北汽新能源推出换电模式3分钟完成换电,0
东风汽车发布岚图品牌定位高端新能源,0
一汽集团推出红旗电动车系列,0
长安汽车发布UNI序列智能化程度高,0
江淮汽车推出思皓品牌进军新能源市场,0
中国移动推出5G消息业务用户突破1亿,0
中国联通发布5G专网服务企业客户,0
中国电信推出天翼云服务市场份额提升,0
中国广电启动5G网络建设覆盖全国,0
字节跳动推出AI绘画工具用户量破千万,0
美团发布无人配送车已在多个城市运营,0
滴滴出行推出自动驾驶出租车服务,0
京东物流发布智能仓储系统效率提升50%,0
拼多多推出农产品直播带货助力乡村振兴,0
快手发布电商业务年交易额破万亿,0
中国男足1比0战胜日本队晋级世界杯决赛圈,1
NBA总决赛湖人队夺冠詹姆斯荣膺MVP,1
东京奥运会中国代表团获得38枚金牌位列奖牌榜第二,1
梅西转会巴黎圣日耳曼签约两年,1
中国女排3比0横扫美国队成功卫冕世界冠军,1
C罗打进职业生涯第850球创造历史新纪录,1
中国游泳队包揽世锦赛4金创造最佳战绩,1
姚明入选篮球名人堂成为首位亚洲球员,1
武磊西甲进球成为中国球员留洋标杆,1
中国乒乓球队包揽世乒赛全部金牌,1
费德勒宣布退役结束传奇职业生涯,1
中国田径队获得世锦赛接力金牌,1
巴西世界杯决赛德国7比1大胜创造历史,1
中国冰雪运动员夺得冬奥会首金实现突破,1
NBA选秀状元签出炉文班亚马当选,1
中国男篮亚洲杯夺冠时隔多年重回巅峰,1
泰森复出拳击赛KO对手引发轰动,1
孙杨复出参赛游泳赛场再现王者风范,1
欧冠决赛皇马夺冠创造欧冠14冠纪录,1
中国短道速滑队包揽冬奥会金牌,1
博尔特百米纪录至今无人打破,1
中国举重队世锦赛夺得8金创历史,1
中国跳水队包揽全运会全部金牌,1
中国体操队世锦赛团体夺冠,1
中国羽毛球队汤姆斯杯夺冠,1
中国网球选手李娜法网夺冠创造历史,1
中国拳击队奥运会实现金牌零的突破,1
中国射击队世锦赛夺得多枚金牌,1
中国击剑队奥运会团体夺冠,1
中国赛艇队世锦赛夺得金牌,1
中国皮划艇队奥运会夺冠,1
中国帆船队世锦赛取得突破,1
中国马术队全运会夺得金牌,1
中国现代五项队世锦赛夺冠,1
中国铁人三项队亚运会夺金,1
中国攀岩队世锦赛夺得金牌,1
中国滑板队奥运会实现突破,1
中国冲浪队全运会夺得金牌,1
中国棒球队亚运会夺冠,1
中国垒球队世锦赛取得佳绩,1
中国橄榄球队亚运会夺得金牌,1
中国曲棍球队世锦赛进入八强,1
中国手球队全运会夺冠,1
中国水球队世锦赛取得突破,1
中国花样游泳队奥运会夺得银牌,1
中国跳水队世界杯包揽全部金牌,1
中国游泳队亚运会创造多项纪录,1
中国田径队钻石联赛夺得冠军,1
中国马拉松选手世锦赛取得突破,1
最新电影流浪地球2票房突破50亿创历史新高,2
著名导演张艺谋新作入围戛纳电影节,2
热门综艺节目向往的生活第六季开播收视率破3,2
周杰伦演唱会门票开售5分钟售罄,2
迪士尼动画新片冰雪奇缘3全球上映好评如潮,2
满江红春节档票房夺冠口碑票房双丰收,2
李安新片双子杀手采用120帧技术视觉效果震撼,2
长津湖票房破57亿成为中国影史票房冠军,2
奥斯卡颁奖典礼举行瞬息全宇宙获最佳影片,2
三体电视剧开播豆瓣评分8.5分,2
刘德华演唱会巡演启动横跨20个城市,2
中国好声音新一季导师阵容公布引发热议,2
漫威新片复仇者联盟6定档粉丝期待值爆棚,2
金鸡奖颁奖典礼举行张艺谋获终身成就奖,2
狂飙收视率破3成为现象级电视剧,2
你好李焕英票房破54亿贾玲导演首秀成功,2
格莱美音乐奖颁奖霉霉获年度专辑大奖,2
封神第一部暑期档上映特效获赞,2
BTS防弹少年团宣布回归新专辑预售破纪录,2
长津湖票房破40亿成为年度票房冠军,2
著名歌手演唱会现场翻车引发网友热议,2
中国电影票房突破600亿创历史新高,2
春节档电影票房破80亿刷新纪录,2
国产动画电影哪吒之魔童降世票房破50亿,2
战狼2票房56.8亿保持国产片纪录,2
我和我的祖国票房破31亿献礼片佳作,2
中国机长票房破29亿真实事件改编,2
流浪地球开启中国科幻电影元年,2
红海行动票房破36亿军事题材力作,2
唐人街探案3春节档票房夺冠,2
你好李焕英成为中国影史票房亚军,2
长津湖之水门桥续集票房破40亿,2
独行月球票房破31亿沈腾马丽主演,2
万里归途票房破15亿撤侨题材,2
满江红票房破45亿张艺谋导演,2
流浪地球2票房破40亿科幻续作,2
深海票房破9亿国产动画新作,2
熊出没系列票房累计破50亿,2
姜子牙票房破16亿国产动画,2
西游记之大圣归来票房破9.5亿,2
大鱼海棠票房破5.6亿国产动画,2
白蛇缘起票房破4.5亿国产动画,2
罗小黑战记票房破3.1亿国产动画,2
哪吒重生票房破4.5亿国产动画,2
新神榜杨戬票房破5.5亿国产动画,2
雄狮少年票房破2.5亿国产动画,2
深海票房破9亿国产动画新作,2
中国奇谭动画短片集豆瓣评分9.5,2
A股三大指数集体上涨沪指重回3000点,3
央行宣布降准0.5个百分点释放流动性约1万亿,3
美联储加息25个基点美元指数走强,3
比特币价格突破5万美元创历史新高,3
国际油价大涨布伦特原油突破100美元每桶,3
中国GDP增速达5.2%经济稳步复苏,3
